0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:39:30 +0530] "GET /FashionKingFrontend/productUser HTTP/1.1" 200 5297
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:39:30 +0530] "GET /FashionKingFrontend/images/1002.jpg HTTP/1.1" 200 6084
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:39:30 +0530] "GET /FashionKingFrontend/images/1001.jpg HTTP/1.1" 200 4002
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:39:30 +0530] "GET /FashionKingFrontend/images/1003.jpg HTTP/1.1" 200 6310
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:39:33 +0530] "GET /FashionKingFrontend/productDisplay/1001 HTTP/1.1" 200 6749
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:39:33 +0530] "GET /FashionKingFrontend/images/1001.jpg HTTP/1.1" 200 4002
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:39:36 +0530] "POST /FashionKingFrontend/viewCart HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:39:37 +0530] "GET /FashionKingFrontend/productDisplay/1001 HTTP/1.1" 200 6749
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:39:43 +0530] "POST /FashionKingFrontend/viewCart HTTP/1.1" 200 6639
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:10 +0530] "GET /FashionKingFrontend/perform_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:10 +0530] "GET /FashionKingFrontend/logout HTTP/1.1" 200 4396
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:14 +0530] "GET /FashionKingFrontend/login HTTP/1.1" 200 5086
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:14 +0530] "GET /FashionKingFrontend/images/traveller.jpg HTTP/1.1" 200 194459
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:21 +0530] "GET /FashionKingFrontend/login HTTP/1.1" 200 5086
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:21 +0530] "GET /FashionKingFrontend/images/traveller.jpg HTTP/1.1" 200 194459
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:38 +0530] "POST /FashionKingFrontend/perform_login HTTP/1.1" 200 4342
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:39 +0530] "GET /FashionKingFrontend/productUser HTTP/1.1" 200 5297
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:39 +0530] "GET /FashionKingFrontend/images/1002.jpg HTTP/1.1" 200 6084
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:39 +0530] "GET /FashionKingFrontend/images/1001.jpg HTTP/1.1" 200 4002
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:39 +0530] "GET /FashionKingFrontend/images/1003.jpg HTTP/1.1" 200 6310
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:44 +0530] "GET /FashionKingFrontend/productDisplay/1001 HTTP/1.1" 200 6749
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:44 +0530] "GET /FashionKingFrontend/images/1001.jpg HTTP/1.1" 200 4002
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:46 +0530] "GET /FashionKingFrontend/productUser HTTP/1.1" 200 5297
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:47 +0530] "GET /FashionKingFrontend/productDisplay/1003 HTTP/1.1" 200 6753
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:47 +0530] "GET /FashionKingFrontend/images/1003.jpg HTTP/1.1" 200 6310
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:52 +0530] "POST /FashionKingFrontend/viewCart HTTP/1.1" 200 7004
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:56 +0530] "POST /FashionKingFrontend/viewCart HTTP/1.1" 200 7369
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:40:56 +0530] "GET /FashionKingFrontend/images/bag-logo.jpg HTTP/1.1" 200 5550
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:41:05 +0530] "GET /FashionKingFrontend/viewCart HTTP/1.1" 405 749
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:41:07 +0530] "GET /FashionKingFrontend/productDisplay/1003 HTTP/1.1" 200 6753
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:41:07 +0530] "GET /FashionKingFrontend/images/1003.jpg HTTP/1.1" 200 6310
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:41:14 +0530] "POST /FashionKingFrontend/viewCart HTTP/1.1" 200 7734
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:15 +0530] "POST /FashionKingFrontend/viewCart HTTP/1.1" 200 8099
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:15 +0530] "GET /FashionKingFrontend/images/bag-logo.jpg HTTP/1.1" 200 5550
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:38 +0530] "GET /FashionKingFrontend/productUser HTTP/1.1" 200 5297
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:38 +0530] "GET /FashionKingFrontend/images/1001.jpg HTTP/1.1" 200 4002
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:38 +0530] "GET /FashionKingFrontend/images/1002.jpg HTTP/1.1" 200 6084
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:38 +0530] "GET /FashionKingFrontend/images/1003.jpg HTTP/1.1" 200 6310
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:39 +0530] "GET /FashionKingFrontend/productDisplay/1003 HTTP/1.1" 200 6753
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:39 +0530] "GET /FashionKingFrontend/images/1003.jpg HTTP/1.1" 200 6310
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:43 +0530] "GET /FashionKingFrontend/productDisplay/productUser HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:45 +0530] "GET /FashionKingFrontend/productDisplay/1003 HTTP/1.1" 200 6753
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:45 +0530] "GET /FashionKingFrontend/productUser HTTP/1.1" 200 5297
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:45 +0530] "GET /FashionKingFrontend/images/1002.jpg HTTP/1.1" 200 6084
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:45 +0530] "GET /FashionKingFrontend/images/1001.jpg HTTP/1.1" 200 4002
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:48 +0530] "GET /FashionKingFrontend/productDisplay/1002 HTTP/1.1" 200 6752
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:48 +0530] "GET /FashionKingFrontend/images/1002.jpg HTTP/1.1" 200 6084
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:44:53 +0530] "POST /FashionKingFrontend/viewCart HTTP/1.1" 200 8483
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:45:04 +0530] "GET /FashionKingFrontend/deleteCart/21 HTTP/1.1" 200 8099
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:45:07 +0530] "GET /FashionKingFrontend/deleteCart/22 HTTP/1.1" 200 7734
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:45:10 +0530] "GET /FashionKingFrontend/deleteCart/23 HTTP/1.1" 200 7370
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:45:11 +0530] "GET /FashionKingFrontend/deleteCart/24 HTTP/1.1" 200 7009
0:0:0:0:0:0:0:1 - - [19/Feb/2021:23:45:13 +0530] "GET /FashionKingFrontend/deleteCart/25 HTTP/1.1" 200 6644
